 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_4154
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   186      16     10407     10391   223.429       216  0.084918  0.286293
   187      16     10491     10475   224.031       336   1.04855   0.28546
   188      16     10584     10568   224.817       372  0.108707  0.284511
   189      16     10688     10672   225.829       416  0.100931  0.283243
   190      16     10780     10764   226.577       368  0.162683  0.282356
   191      16     10880     10864   227.484       400  0.128691  0.281205
   192      16     10973     10957   228.237       372   0.10567  0.280117
   193      16     11065     11049    228.96       368  0.124023  0.279403
   194      16     11145     11129    229.43       320  0.136513  0.278527
   195      16     11192     11176   229.217       188  0.077196    0.2778
   196      16     11234     11218   228.904       168  0.149909  0.278893
   197      16     11244     11228   227.945        40  0.079332   0.27873
   198      16     11270     11254   227.319       104  0.075182  0.279167
   199      16     11277     11261   226.318        28  0.738138    0.2791
2013-09-25 06:21:52.748489min lat: 0.059625 max lat: 13.6233 avg lat: 0.27898
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16     11285     11269   225.346        32  0.077118   0.27898
   201      16     11285     11269   224.225         0         -   0.27898
   202      16     11306     11290   223.531        42  0.133096  0.283643
   203      16     11406     11390     224.4       400  0.123543  0.285078
   204      16     11482     11466    224.79       304  0.079747  0.284487
   205      16     11590     11574     225.8       432  0.111352  0.283324
   206      16     11690     11674   226.646       400  0.090043  0.282257
   207      16     11792     11776   227.522       408  0.090254  0.281121
   208      16     11834     11818   227.235       168  0.081081  0.280469
   209      16     11835     11819   226.167         4  0.074945  0.280452
   210      16     11847     11831   225.319        48  0.078423   0.28086
   211      16     11847     11831   224.251         0         -   0.28086
   212      16     11847     11831   223.193         0         -   0.28086
   213      16     11867     11851   222.521   26.6667  0.092421  0.283046
   214      16     11896     11880   222.023       116  0.066921  0.282581
   215      16     11950     11934   221.995       216  0.080612  0.282765
   216      16     12021     12005   222.282       284  0.090204  0.287615
   217      16     12056     12040   221.902       140  0.084643  0.287113
   218      16     12128     12112   222.205       288  0.233184  0.287905
   219      16     12195     12179   222.414       268  0.072483  0.286968
2013-09-25 06:22:12.751328min lat: 0.059625 max lat: 13.6233 avg lat: 0.286951
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16     12196     12180   221.421         4   0.07489  0.286951
   221      16     12196     12180    220.42         0         -  0.286951
   222      16     12213     12197   219.733        34  0.145319  0.289246
   223      16     12305     12289   220.398       368  0.140706  0.290277
   224      16     12407     12391   221.235       408  0.084212   0.28915
   225      16     12509     12493   222.065       408  0.106434  0.288059
   226      16     12592     12576   222.551       332  0.111898  0.287319
   227      16     12685     12669   223.209       372   0.16938   0.28632
   228      16     12773     12757   223.774       352  0.383523  0.285835
   229      16     12807     12791    223.39       136  0.851971  0.285992
   230      16     12854     12838   223.236       188  0.072116  0.285757
   231      16     12952     12936   223.966       392  0.134238  0.285671
   232      16     13044     13028   224.587       368  0.092337  0.284778
   233      16     13117     13101   224.876       292  0.173082  0.284473
   234      16     13202     13186   225.368       340  0.110312  0.283764
   235      16     13309     13293    226.23       428   0.15509  0.282815
   236      16     13407     13391   226.932       392  0.087959  0.281906
   237      16     13473     13457   227.088       264  0.080711  0.281061
   238      16     13517     13501   226.874       176  0.077062  0.281193
   239      16     13518     13502   225.941         4  0.081825  0.281179
2013-09-25 06:22:32.754302min lat: 0.059625 max lat: 13.6233 avg lat: 0.281179
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16     13518     13502       225         0         -  0.281179
   241      16     13527     13511   224.215        18  0.074832  0.281709
   242      16     13527     13511   223.289         0         -  0.281709
   243      16     13527     13511    222.37         0         -  0.281709
   244      16     13527     13511   221.459         0         -  0.281709
   245      16     13527     13511   220.555         0         -  0.281709
   246      16     13527     13511   219.658         0         -  0.281709
   247      16     13527     13511   218.769         0         -  0.281709
   248      16     13527     13511   217.887         0         -  0.281709
   249      16     13527     13511   217.012         0         -  0.281709
   250      16     13527     13511   216.144         0         -  0.281709
   251      16     13540     13524    215.49       5.2   13.6354    0.2906
   252      16     13638     13622    216.19       392  0.136557  0.295894
   253      16     13728     13712   216.759       360  0.292062  0.295141
   254      16     13815     13799   217.275       348  0.152057   0.29445
