 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_5912
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   155      16      9083      9067    233.95       344  0.077184  0.273214
   156      16      9169      9153   234.655       344  0.096095  0.272212
   157      16      9211      9195    234.23       168  0.117607  0.271704
   158      16      9272      9256   234.292       244  0.205366  0.273039
   159      16      9334      9318   234.378       248  0.085634  0.272017
2013-09-25 07:56:41.966570min lat: 0.058125 max lat: 9.24276 avg lat: 0.2726
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   160      16      9391      9375   234.338       228  0.069178    0.2726
   161      16      9393      9377   232.932         8   1.44495  0.272704
   162      16      9478      9462   233.592       340  0.112599  0.273751
   163      16      9564      9548   234.269       344  0.103963  0.272949
   164      16      9666      9650   235.328       408  0.130473  0.271831
   165      16      9731      9715   235.478       260  0.175648  0.270951
   166      16      9743      9727   234.348        48  0.134172  0.270718
   167      16      9779      9763   233.807       144  0.140477  0.272845
   168      16      9882      9866   234.867       412  0.108579  0.272389
   169      16      9952      9936   235.134       280  0.077781  0.271852
   170      16      9984      9968   234.504       128  0.084432   0.27194
   171      16     10007      9991    233.67        92  0.073803  0.271544
   172      16     10019     10003   232.591        48  0.074477  0.271319
   173      16     10021     10005   231.293         8  0.162156  0.271297
   174      16     10021     10005   229.964         0         -  0.271297
   175      16     10021     10005   228.649         0         -  0.271297
   176      16     10021     10005    227.35         0         -  0.271297
   177      16     10073     10057   227.241        52  0.107227  0.281518
   178      15     10177     10162   228.324       420  0.068931  0.280152
   179      16     10277     10261    229.26       396  0.174814  0.279005
2013-09-25 07:57:01.969436min lat: 0.058125 max lat: 9.24276 avg lat: 0.27794
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16     10363     10347   229.897       344  0.131718   0.27794
   181      16     10446     10430   230.461       332  0.180957  0.277465
   182      16     10526     10510   230.952       320  0.176272  0.276783
   183      16     10627     10611   231.898       404  0.131994  0.275854
   184      16     10717     10701   232.594       360  0.126661  0.274872
   185      16     10776     10760   232.612       236  0.116477  0.274308
   186      16     10867     10851   233.318       364   0.10114  0.274177
   187      16     10949     10933   233.824       328  0.104739  0.273373
   188      16     11010     10994   233.878       244  0.073118  0.272923
   189      16     11064     11048   233.783       216  0.079391  0.273325
   190      16     11065     11049   232.574         4  0.063677  0.273306
   191      16     11092     11076   231.921       108  0.085012  0.274234
   192      16     11107     11091   231.026        60  0.079966  0.274348
   193      16     11136     11120    230.43       116  0.074939  0.275619
   194      16     11148     11132    229.49        48  0.069907  0.275402
   195      16     11148     11132   228.313         0         -  0.275402
   196      16     11204     11188   228.291       112  0.128143  0.280249
   197      16     11300     11284   229.081       384  0.075867  0.279233
   198      16     11392     11376   229.782       368   0.11512  0.278345
   199      16     11500     11484   230.798       432  0.113653  0.277203
2013-09-25 07:57:21.972529min lat: 0.058125 max lat: 9.24276 avg lat: 0.275968
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16     11609     11593   231.823       436  0.205039  0.275968
   201      16     11653     11637   231.546       176  0.068237  0.275412
   202      16     11713     11697   231.587       240  0.174501  0.275811
   203      16     11756     11740   231.293       172  0.071127  0.276012
   204      16     11797     11781   230.964       164  0.072825  0.275912
   205      16     11812     11796   230.129        60  0.073719  0.275666
   206      16     11812     11796   229.012         0         -  0.275666
   207      16     11813     11797   227.925         2   1.50844   0.27577
   208      16     11840     11824   227.349       108  0.095619  0.280877
   209      16     11934     11918    228.06       376  0.227062  0.280486
   210      16     12019     12003   228.593       340   0.37244  0.279808
   211      16     12105     12089   229.139       344  0.086723  0.279153
   212      16     12202     12186   229.888       388  0.111202  0.278223
   213      16     12292     12276   230.499       360  0.137728  0.277422
   214      16     12355     12339   230.599       252  0.223755  0.277409
   215      16     12449     12433   231.275       376  0.326044  0.276591
   216      16     12555     12539   232.167       424  0.155837  0.275579
   217      16     12648     12632   232.811       372  0.080624   0.27477
   218      16     12698     12682   232.661       200  0.182922   0.27413
   219      16     12723     12707   232.055       100  0.128959  0.274019
2013-09-25 07:57:41.975660min lat: 0.058125 max lat: 9.24276 avg lat: 0.274055
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16     12727     12711   231.073        16   1.31592  0.274055
   221      16     12772     12756   230.841       180  0.076791  0.276773
   222      16     12787     12771   230.072        60  0.076781   0.27669
   223      16     12820     12804   229.632       132  0.133141  0.277133
   224      16     12854     12838   229.214       136  0.083975  0.278614
   225      16     12944     12928   229.795       360   0.19939  0.278375
   226      16     13031     13015   230.318       348  0.274203   0.27766
   227      16     13060     13044   229.814       116  0.099495  0.277616
   228      16     13140     13124   230.209       320  0.072916  0.277854
   229      16     13176     13160   229.833       144  0.079922  0.277466
   230      16     13182     13166   228.938        24   2.03939  0.278249
   231      16     13279     13263   229.626       388   0.19436  0.278618
   232      16     13374     13358   230.274       380  0.100551  0.277861
   233      16     13462     13446   230.796       352  0.083501   0.27712
   234      16     13554     13538   231.382       368  0.080569  0.276481
   235      16     13638     13622   231.827       336  0.095607  0.275696
   236      16     13660     13644   231.218        88  0.072937  0.275399
   237      16     13703     13687   230.968       172  0.131403  0.276751
   238      16     13734     13718   230.518       124  0.071125  0.276416
   239      16     13745     13729   229.738        44  0.082494  0.277449
2013-09-25 07:58:01.978733min lat: 0.058125 max lat: 9.24276 avg lat: 0.277295
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16     13760     13744   229.031        60  0.195718  0.277295
   241      16     13770     13754   228.246        40   0.08217  0.277148
   242      16     13770     13754   227.303         0         -  0.277148
   243      16     13834     13818   227.421       128  0.219021  0.281305
   244      16     13936     13920   228.161       408  0.116676  0.280397
   245      16     14021     14005   228.617       340  0.067455  0.279594
