 Maintaining 16 concurrent writes of 4194304 bytes for at least 300 seconds.
 Object prefix: benchmark_data_Client_6625
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
2013-09-25 09:34:46.816845min lat: 0.060842 max lat: 12.7937 avg lat: 0.293857
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   180      16      9491      9475   210.525         0         -  0.293857
   181      16      9491      9475   209.362         0         -  0.293857
   182      16      9491      9475   208.212         0         -  0.293857
   183      16      9491      9475   207.074         0         -  0.293857
   184      16      9491      9475   205.949         0         -  0.293857
   185      16      9491      9475   204.836         0         -  0.293857
   186      16      9535      9519   204.681      17.6  0.193869  0.312468
   187      16      9637      9621   205.767       408  0.191404  0.310901
   188      16      9745      9729    206.97       432  0.156442  0.309058
   189      16      9845      9829   207.991       400  0.080878  0.307334
   190      16      9934      9918    208.77       356  0.070771  0.306394
   191      16     10038     10022   209.855       416  0.106147  0.304759
   192      16     10119     10103   210.449       324   0.08568  0.303914
   193      16     10203     10187   211.099       336  0.133351  0.303011
   194      16     10254     10238   211.063       204  0.102056  0.302502
   195      16     10270     10254   210.308        64  0.071369  0.302327
   196      16     10277     10261   209.378        28   0.08213  0.302214
   197      16     10279     10263   208.356         8  0.076383  0.302177
   198      16     10281     10265   207.344         8  0.161932  0.302493
   199      16     10281     10265   206.302         0         -  0.302493
2013-09-25 09:35:06.819492min lat: 0.060842 max lat: 12.7937 avg lat: 0.309752
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   200      16     10344     10328   206.531       126  0.093936  0.309752
   201      16     10448     10432   207.572       416  0.300785  0.308194
   202      16     10536     10520   208.287       352  0.301163  0.307156
   203      16     10635     10619   209.212       396  0.070777  0.305738
   204      16     10732     10716   210.088       388  0.157557  0.304499
   205      16     10830     10814   210.975       392  0.080012  0.303085
   206      16     10875     10859   210.824       180  0.121534   0.30224
   207      16     10885     10869   209.999        40   2.44212  0.302709
   208      16     10959     10943   210.412       296  0.096001  0.303846
   209      16     11028     11012   210.726       276  0.174358  0.303514
   210      16     11075     11059   210.618       188  0.076893   0.30295
   211      16     11076     11060   209.638         4   1.86925  0.303091
   212      16     11101     11085   209.121       100   0.07395  0.303172
   213      16     11108     11092   208.271        28  0.073847  0.303035
   214      16     11108     11092   207.298         0         -  0.303035
   215      16     11168     11152   207.449       120  0.098848  0.308376
   216      16     11258     11242   208.156       360  0.146659  0.307215
   217      16     11273     11257   207.473        60  0.095432  0.307021
   218      16     11273     11257   206.521         0         -  0.307021
   219      16     11273     11257   205.578         0         -  0.307021
2013-09-25 09:35:26.822385min lat: 0.060842 max lat: 12.7937 avg lat: 0.307021
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   220      16     11273     11257   204.644         0         -  0.307021
   221      16     11273     11257   203.718         0         -  0.307021
   222      16     11273     11257     202.8         0         -  0.307021
   223      16     11273     11257   201.891         0         -  0.307021
   224      16     11273     11257   200.989         0         -  0.307021
   225      16     11273     11257   200.096         0         -  0.307021
   226      16     11273     11257   199.211         0         -  0.307021
   227      16     11273     11257   198.333         0         -  0.307021
   228      16     11273     11257   197.463         0         -  0.307021
   229      16     11273     11257   196.601         0         -  0.307021
   230      16     11273     11257   195.746         0         -  0.307021
   231      16     11273     11257   194.899         0         -  0.307021
   232      16     11273     11257   194.059         0         -  0.307021
   233      16     11273     11257   193.226         0         -  0.307021
   234      16     11273     11257     192.4         0         -  0.307021
   235      16     11273     11257   191.582         0         -  0.307021
   236      16     11273     11257    190.77         0         -  0.307021
   237      16     11273     11257   189.965         0         -  0.307021
   238      16     11273     11257   189.167         0         -  0.307021
   239      16     11273     11257   188.375         0         -  0.307021
2013-09-25 09:35:46.824611min lat: 0.060842 max lat: 12.7937 avg lat: 0.307021
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   240      16     11273     11257    187.59         0         -  0.307021
   241      16     11273     11257   186.812         0         -  0.307021
   242      16     11273     11257    186.04         0         -  0.307021
   243      16     11273     11257   185.275         0         -  0.307021
   244      16     11273     11257   184.515         0         -  0.307021
   245      16     11273     11257   183.762         0         -  0.307021
   246      16     11273     11257   183.015         0         -  0.307021
   247      16     11273     11257   182.274         0         -  0.307021
   248      16     11273     11257   181.539         0         -  0.307021
   249      16     11273     11257    180.81         0         -  0.307021
   250      16     11273     11257   180.087         0         -  0.307021
   251      16     11273     11257    179.37         0         -  0.307021
   252      16     11273     11257   178.658         0         -  0.307021
   253      16     11273     11257   177.952         0         -  0.307021
   254      16     11273     11257   177.251         0         -  0.307021
   255      16     11273     11257   176.556         0         -  0.307021
   256      16     11273     11257   175.866         0         -  0.307021
   257      16     11273     11257   175.182         0         -  0.307021
   258      16     11273     11257   174.503         0         -  0.307021
   259      16     11273     11257   173.829         0         -  0.307021
2013-09-25 09:36:06.826895min lat: 0.060842 max lat: 12.7937 avg lat: 0.307021
   sec Cur ops   started  finished  avg MB/s  cur MB/s  last lat   avg lat
   260      16     11273     11257   173.161         0         -  0.307021
   261      16     11273     11257   172.497         0         -  0.307021
   262      16     11273     11257   171.839         0         -  0.307021
   263      16     11273     11257   171.186         0         -  0.307021
   264      16     11273     11257   170.537         0         -  0.307021
   265      16     11273     11257   169.894         0         -  0.307021
   266      16     11273     11257   169.255         0         -  0.307021
